"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","reformattedtext"
"1261","@SirErnestDB Thank you for the kind words, sir!",FALSE,0,"SirErnestDB",2016-09-29 03:52:03,FALSE,"781173460345229312","781340739175194624","183489941","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@SirErnestDB Thank you for the kind words, sir!"
"1262","@RobbyRSSRobot Unfortunately, we currently do not have any official outlet for selling merchandise like beer glasses. Apologies.",FALSE,0,"RobbyRSSRobot",2016-09-29 03:19:01,FALSE,"781270244656644096","781332427121782788","20466840","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@RobbyRSSRobot Unfortunately, we currently do not have any official outlet for selling merchandise like beer glasses. Apologies."
"1263","#Qingdao Beer Festival is in August, however with German heritage we don’t say no to a good #Octoberfest! What do y… https://t.co/5oxaYSPPXJ",FALSE,3,NA,2016-09-28 13:20:17,TRUE,NA,"781121352497520640",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","tsingtao",0,FALSE,FALSE,NA,NA,"#Qingdao Beer Festival is in August, however with German heritage we don<e2><80><99>t say no to a good #Octoberfest! What do y<e2><80><a6> https://t.co/5oxaYSPPXJ"
"1264","@ton_up_steel @nurserysarah Nice Kirk! Your taste in beer is admirable!",FALSE,1,"ton_up_steel",2016-09-26 03:12:20,FALSE,"780086767613538304","780243581445505024","212295175","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@ton_up_steel @nurserysarah Nice Kirk! Your taste in beer is admirable!"
"1265","@Salpls We love you too Sal! ������������",FALSE,2,"Salpls",2016-09-26 03:11:08,FALSE,"779380962383638528","780243279170244608","123441347","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",1,FALSE,FALSE,NA,NA,"@Salpls We love you too Sal! <ed><a0><bd><ed><b8><8d><ed><a0><bd><ed><b8><8d>"
"1266","@BIGTeej_ Glad you enjoyed the first - make sure it's not the last! ������",FALSE,0,"BIGTeej_",2016-09-26 03:08:59,FALSE,"779377366086877184","780242735727013889","31976459","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@BIGTeej_ Glad you enjoyed the first - make sure it's not the last! <ed><a0><bd><ed><b8><89>"
"1267","Read about what happened when @EveningStandard went to #Qingdao to experience this year's Beer Festival! https://t.co/IkNDfH11ln",FALSE,2,NA,2016-09-23 02:22:15,FALSE,NA,"779143811289145344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Read about what happened when @EveningStandard went to #Qingdao to experience this year's Beer Festival! https://t.co/IkNDfH11ln"
"1268","@EveningStandard Went to Qingdao to experience this year's Beer Festival!  https://t.co/IkNDfHiCJX",FALSE,0,"EveningStandard",2016-09-22 12:01:48,FALSE,NA,"778927274586439680","1168472395","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@EveningStandard Went to Qingdao to experience this year's Beer Festival!  https://t.co/IkNDfHiCJX"
"1269","@Drewbailey4 ayy thank YOU for holding it down",FALSE,1,"beijinghoodrat",2016-09-22 03:17:39,FALSE,"778606871758241792","778795365352943616","324777260","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",1,FALSE,FALSE,NA,NA,"@Drewbailey4 ayy thank YOU for holding it down"
"1270","Have a ������ for ☮ !  #internationaldayofpeace https://t.co/4Kz8TNeiuq",FALSE,7,NA,2016-09-21 12:30:00,FALSE,NA,"778571984586305536",NA,"<a href=""https://dashboard.twitter.com"" rel=""nofollow"">Twitter Business Experience</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Have a <ed><a0><bc><ed><bd><ba> for <e2><98><ae> !  #internationaldayofpeace https://t.co/4Kz8TNeiuq"
